serial_no,facility_name,provider_type,state,lga,city,address,phone,email,accreditation_hint,latitude,longitude,geocode_status,source_url,extracted_at,source_code
nhia_hcp_0498,Nigerian Customs Medical Centre,clinic,FCT,Abuja Municipal Area Council,Abuja,"Karu Customs Barracks, Karu",,,NHIA directory code FCT/0401/P,,,city_only,https://integratedhealthcareltd.com/provider-directory-nhia/,2026-04-23T11:40:35Z,FCT/0401/P
nhia_hcp_0499,Nisa Premier Hospital,hospital,FCT,Abuja Municipal Area Council,Abuja,Plot 618 Alex Ekweme Way Jabi Abuja,,,NHIA directory code FCT/0158/P,,,city_only,https://integratedhealthcareltd.com/provider-directory-nhia/,2026-04-23T11:40:35Z,FCT/0158/P
nhia_hcp_0500,Northernland Medical Centre,clinic,FCT,Abuja Municipal Area Council,Abuja,"Okot A House Off Old Karu Road, Nyanya, Abuja",,,NHIA directory code FCT/0510/P,,,city_only,https://integratedhealthcareltd.com/provider-directory-nhia/,2026-04-23T11:40:35Z,FCT/0510/P
nhia_hcp_0501,NWC MIR Abuja,hospital,FCT,,Abuja,Abuja,,,NHIA directory code FCT/0372/P,,,city_only,https://integratedhealthcareltd.com/provider-directory-nhia/,2026-04-23T11:40:35Z,FCT/0372/P
nhia_hcp_0502,Oakfield Health Service Limited,hospital,FCT,,Abuja,Abuja,,,NHIA directory code FCT/0810/P,,,city_only,https://integratedhealthcareltd.com/provider-directory-nhia/,2026-04-23T11:40:35Z,FCT/0810/P
nhia_hcp_0503,Our Lady Of Fatima Catholic Hospital,hospital,FCT,Bwari,Abuja,"Ushafa Rd., Bwari Area Council, Abuja.",,,NHIA directory code FCT/0102/P,,,city_only,https://integratedhealthcareltd.com/provider-directory-nhia/,2026-04-23T11:40:35Z,FCT/0102/P
nhia_hcp_0504,PAAFAG Hospital & Medical Diagnosis Centre,hospital,FCT,Abuja Municipal Area Council,Abuja,"FHA Lugbe FHA Estate, Lugbe, Abuj",,,NHIA directory code FCT/0508/P,,,city_only,https://integratedhealthcareltd.com/provider-directory-nhia/,2026-04-23T11:40:35Z,FCT/0508/P
nhia_hcp_0505,Pan-Raf Hospital Ltd.,hospital,FCT,Abuja Municipal Area Council,Abuja,"PLOT B 65, ROAD 3, PHASE 4, NYANYA, ABUJA",,,NHIA directory code FCT/0008/P,,,city_only,https://integratedhealthcareltd.com/provider-directory-nhia/,2026-04-23T11:40:35Z,FCT/0008/P
nhia_hcp_0506,Peacecare Clinic,clinic,FCT,Abuja Municipal Area Council,Abuja,"46 3rd Avenue, Opp. Zenith Bank, Gwarinpa",,,NHIA directory code FCT/0608/P,,,city_only,https://integratedhealthcareltd.com/provider-directory-nhia/,2026-04-23T11:40:35Z,FCT/0608/P
nhia_hcp_0507,Pison Hospital,hospital,FCT,Bwari,Abuja,"K8, Sultan Dasuki Way, Kubwa, Abuja",,,NHIA directory code FCT/0044/P,,,city_only,https://integratedhealthcareltd.com/provider-directory-nhia/,2026-04-23T11:40:35Z,FCT/0044/P
nhia_hcp_0508,Police Hospital,hospital,FCT,Abuja Municipal Area Council,Abuja,"Behind Area 1 Shopping Complex, Area 1 Garki",,,NHIA directory code FCT/0559/P,,,city_only,https://integratedhealthcareltd.com/provider-directory-nhia/,2026-04-23T11:40:35Z,FCT/0559/P
